epoch,accuracy,auc,loss,lr,prc,precision,recall,specificity,val_accuracy,val_auc,val_loss,val_prc,val_precision,val_recall,val_specificity
0,0.7088280320167542,0.5417457818984985,0.23361212015151978,1e-04,0.3184231221675873,0.3006536066532135,0.002854859922081232,0.5528421998023987,0.713236391544342,0.6514874696731567,0.12404821813106537,0.42364877462387085,0.0,0.0,0.6567081212997437
1,0.7407781481742859,0.7648090720176697,0.16000880300998688,1e-04,0.5897427797317505,0.8050191402435303,0.14035360515117645,0.843716025352478,0.797130823135376,0.8697820901870728,0.08152679353952408,0.7505965232849121,0.8542811274528503,0.3527214527130127,0.9457197785377502
2,0.8665736317634583,0.931807279586792,0.10132507234811783,1e-04,0.866687536239624,0.8801345825195312,0.6251677870750427,0.983225405216217,0.891328752040863,0.9452316164970398,0.06324813514947891,0.8936453461647034,0.8115463256835938,0.8088758587837219,0.9896660447120667
3,0.9227710366249084,0.9738501310348511,0.07015566527843475,1e-04,0.9470723867416382,0.9284238815307617,0.7950552105903625,0.9970869421958923,0.8925656676292419,0.9609283804893494,0.06340093910694122,0.923609733581543,0.763638436794281,0.9056830406188965,0.9945290684700012
4,0.9454318284988403,0.9864751696586609,0.054959625005722046,1e-04,0.9717662334442139,0.9488582611083984,0.8581336140632629,0.9991758465766907,0.9203009605407715,0.9668949842453003,0.048251375555992126,0.9356855154037476,0.866811215877533,0.8531661033630371,0.9959772825241089
5,0.9579031467437744,0.9916317462921143,0.04643150418996811,1e-04,0.9822022914886475,0.9600547552108765,0.8919885754585266,0.9996576905250549,0.9206835031509399,0.969618558883667,0.04410534352064133,0.9405147433280945,0.924574613571167,0.787664532661438,0.9970142245292664
6,0.9647914171218872,0.9940367341041565,0.041478995233774185,1e-04,0.9871396422386169,0.9663583636283875,0.9103124141693115,0.9998288154602051,0.9293802380561829,0.9735879302024841,0.04247117042541504,0.9482436180114746,0.910451352596283,0.8359569311141968,0.9975684881210327
7,0.9691367745399475,0.9954349398612976,0.03824955224990845,1e-04,0.9900089502334595,0.9703701138496399,0.9217473864555359,0.9998795390129089,0.9311017394065857,0.9745370149612427,0.04346149414777756,0.9500603675842285,0.8876435160636902,0.8698416948318481,0.9975863695144653
8,0.9732255935668945,0.9964699745178223,0.03558794781565666,1e-04,0.992218017578125,0.9739999771118164,0.9325927495956421,0.9999112486839294,0.9202371835708618,0.9745361804962158,0.044452667236328125,0.9499773979187012,0.9489959478378296,0.7628512978553772,0.9979260563850403
9,0.975754976272583,0.9970648288726807,0.03390362858772278,1e-04,0.9934830069541931,0.9767072200775146,0.9388067126274109,0.999936580657959,0.9327467679977417,0.9768310189247131,0.043433450162410736,0.9545543789863586,0.8778977990150452,0.8891409039497375,0.9980154633522034
10,0.9771974682807922,0.9974560737609863,0.032748717814683914,1e-04,0.9943190813064575,0.9776785969734192,0.9429183006286621,0.9999524354934692,0.9347232580184937,0.9766677618026733,0.04280926659703255,0.9547804594039917,0.8945168852806091,0.875622570514679,0.9982478618621826
11,0.9797380566596985,0.9978646636009216,0.03144050016999245,1e-04,0.9952026009559631,0.9803376197814941,0.9491866230964661,0.99994295835495,0.9109283089637756,0.9764764904975891,0.060275401920080185,0.9540423154830933,0.7897215485572815,0.9395677447319031,0.9979439377784729
12,0.980921745300293,0.9980904459953308,0.030689362436532974,1e-04,0.9957242608070374,0.9811803102493286,0.9524991512298584,0.9999651312828064,0.9200714230537415,0.9748416543006897,0.0462147556245327,0.952264666557312,0.9598026871681213,0.7528014779090881,0.9984266757965088
13,0.982033371925354,0.998268187046051,0.030002662912011147,1e-04,0.9961376190185547,0.9825372099876404,0.9550359845161438,0.9999778270721436,0.9340856671333313,0.976595401763916,0.042561452835798264,0.9541089534759521,0.9180707931518555,0.8456065654754639,0.9983551502227783
14,0.9831090569496155,0.9984928369522095,0.029233934357762337,1e-04,0.9965819120407104,0.9838114380836487,0.9575262069702148,0.9999841451644897,0.9319943785667419,0.9757331609725952,0.041639089584350586,0.9536927938461304,0.9289822578430176,0.8259961009025574,0.9984803199768066
15,0.9839349389076233,0.998619794845581,0.02870451845228672,1e-04,0.9968749284744263,0.9844439029693604,0.9597837328910828,0.9999778270721436,0.9184391498565674,0.9779174327850342,0.05765125900506973,0.9558100700378418,0.8083704113960266,0.9379224181175232,0.9979081749916077
16,0.9845424890518188,0.9987396597862244,0.028267795220017433,1e-04,0.9971309304237366,0.984900712966919,0.9614516496658325,0.9999841451644897,0.9319179058074951,0.9770438075065613,0.042215559631586075,0.9557656049728394,0.9447124004364014,0.8099875450134277,0.9984982013702393
17,0.9850262999534607,0.9987962245941162,0.02800636738538742,1e-04,0.9972730875015259,0.985442578792572,0.9625998139381409,0.9999968409538269,0.9294057488441467,0.9770997166633606,0.04831211268901825,0.9546269774436951,0.853667676448822,0.909774124622345,0.9980869889259338
18,0.9858004450798035,0.9989087581634521,0.027593180537223816,1e-04,0.9974972009658813,0.9862370491027832,0.9645081758499146,0.9999936819076538,0.9339326620101929,0.9781495928764343,0.04619720205664635,0.9575067758560181,0.8715064525604248,0.9027036428451538,0.9985517859458923
19,0.986421525478363,0.9989884495735168,0.027134450152516365,1e-04,0.9977102279663086,0.9868682622909546,0.9660442471504211,0.9999904632568359,0.9361132383346558,0.9775646328926086,0.0430210642516613,0.9565294981002808,0.9227457642555237,0.8482301831245422,0.9983372688293457
20,0.9868018627166748,0.9990530014038086,0.026874126866459846,1e-04,0.997850775718689,0.9871402978897095,0.9670993089675903,0.9999936819076538,0.9379622340202332,0.9787479639053345,0.0428411066532135,0.9581210613250732,0.8980439901351929,0.8840270638465881,0.998462438583374
21,0.9872698783874512,0.9991210103034973,0.026515353471040726,1e-04,0.9980026483535767,0.9875546097755432,0.9683172702789307,0.9999968409538269,0.937515914440155,0.9784339070320129,0.04355427622795105,0.9574973583221436,0.8902201056480408,0.8921202421188354,0.9981584548950195
22,0.9878482222557068,0.9991695284843445,0.026290487498044968,1e-04,0.9980792999267578,0.987988293170929,0.9698998332023621,0.9999809861183167,0.9384340643882751,0.9786531329154968,0.04215633496642113,0.9587165713310242,0.9036017656326294,0.8790910840034485,0.9987663626670837
23,0.9880867600440979,0.9992038607597351,0.026006747037172318,1e-04,0.9981759190559387,0.9885229468345642,0.9701946377754211,0.9999936819076538,0.9394287467002869,0.9792604446411133,0.04323360696434975,0.959592342376709,0.9137818217277527,0.870953381061554,0.9985875487327576
24,0.9884198307991028,0.9992631673812866,0.02565985545516014,1e-04,0.9983248710632324,0.9888373613357544,0.9710402488708496,0.9999968409538269,0.9390333890914917,0.9788568019866943,0.04236322268843651,0.9587705135345459,0.9184271693229675,0.8641497492790222,0.99822998046875
25,0.9891939163208008,0.999312698841095,0.025293288752436638,1e-04,0.9984378218650818,0.989500105381012,0.9730727672576904,0.9999904632568359,0.9369931221008301,0.9772379994392395,0.04337809607386589,0.9568865299224854,0.9289590716362,0.84489506483078,0.9984803199768066
26,0.988939642906189,0.999305248260498,0.025354117155075073,1e-04,0.9984121322631836,0.9893438816070557,0.9723435640335083,0.9999904632568359,0.937477707862854,0.9776743650436401,0.044649887830019,0.9574537873268127,0.8956486582756042,0.8850942850112915,0.9984982013702393
27,0.9890769124031067,0.9993188977241516,0.025254948064684868,1e-04,0.9984356164932251,0.9893413186073303,0.9728245139122009,0.9999904632568359,0.9409079551696777,0.979788601398468,0.04261190816760063,0.9606699347496033,0.9087079763412476,0.8826040625572205,0.9986054301261902
28,0.9898960590362549,0.9994142651557922,0.02467566542327404,1e-04,0.9986634850502014,0.9903207421302795,0.9746941328048706,0.9999968409538269,0.9315735697746277,0.9783215522766113,0.048922426998615265,0.9581423997879028,0.8573635220527649,0.9133315682411194,0.998659074306488
29,0.989619255065918,0.9994177222251892,0.02465420588850975,1e-04,0.9986584186553955,0.9896854162216187,0.9743683338165283,0.9999968409538269,0.9362407326698303,0.9780672788619995,0.04271391034126282,0.9577850103378296,0.9386475086212158,0.8320437669754028,0.9983372688293457
30,0.9900738000869751,0.9994232058525085,0.024524372071027756,1e-04,0.9986699819564819,0.9903035759925842,0.9753302931785583,0.9999841451644897,0.9384468197822571,0.9786412119865417,0.041386332362890244,0.9589754343032837,0.9302733540534973,0.8489861488342285,0.9984982013702393
31,0.9900243282318115,0.9994347095489502,0.024485334753990173,1e-04,0.9987112283706665,0.9904642105102539,0.9749966859817505,1.0,0.9381535053253174,0.9785774350166321,0.04210786148905754,0.9591218829154968,0.9150508046150208,0.8645944595336914,0.9988915324211121
32,0.990121066570282,0.9994562268257141,0.02434091456234455,1e-04,0.9987511038780212,0.9904519319534302,0.9753457903862,1.0,0.9386253356933594,0.9793547987937927,0.04342774301767349,0.9601591229438782,0.8954669237136841,0.8898523449897766,0.9987663626670837
33,0.9958279132843018,0.9998951554298401,0.020478246733546257,5e-05,0.9997537136077881,0.9960642457008362,0.9895269870758057,1.0,0.9444529414176941,0.9835292100906372,0.04482254013419151,0.9682843089103699,0.8929097652435303,0.91617751121521,0.9990702867507935
34,0.9976484179496765,0.99996018409729,0.018676985055208206,5e-05,0.9999073147773743,0.9978893995285034,0.9939954876899719,1.0,0.9431394934654236,0.982389509677887,0.045672569423913956,0.966495156288147,0.8933886289596558,0.9103521704673767,0.9989808797836304
35,0.9967978000640869,0.9999367594718933,0.018601272255182266,5e-05,0.9998480081558228,0.9969128370285034,0.9920327663421631,1.0,0.9443382024765015,0.9823470711708069,0.04518406093120575,0.9663271903991699,0.9023220539093018,0.9037264585494995,0.9989451766014099
36,0.9973873496055603,0.9999511241912842,0.01772504486143589,5e-05,0.9998922348022461,0.9974144697189331,0.9935687780380249,1.0,0.9452945590019226,0.9828135371208191,0.04665286839008331,0.9666183590888977,0.8988340497016907,0.9118641018867493,0.9988736510276794
37,0.9969530701637268,0.999931275844574,0.017579006031155586,5e-05,0.9998477697372437,0.997162401676178,0.9923198223114014,1.0,0.9457153677940369,0.9822270274162292,0.04282352328300476,0.9661300182342529,0.9262567162513733,0.8808253407478333,0.9992491006851196
38,0.9971713423728943,0.9999460577964783,0.0170898400247097,5e-05,0.9998723268508911,0.9973505139350891,0.9928861260414124,1.0,0.9451415538787842,0.9822141528129578,0.04289666935801506,0.9658592939376831,0.9172249436378479,0.8889185190200806,0.9988378882408142
39,0.9987668395042419,0.9999896883964539,0.01571040414273739,2.5e-05,0.9999752640724182,0.9988806247711182,0.9968658685684204,1.0,0.948546290397644,0.9846153259277344,0.044001903384923935,0.9700532555580139,0.9091029763221741,0.9117307066917419,0.9992669820785522
40,0.9994576573371887,0.999998152256012,0.014778580516576767,2.5e-05,0.999995231628418,0.9995340704917908,0.9985958337783813,1.0,0.9485335350036621,0.9844508767127991,0.04391452297568321,0.9698970317840576,0.9108113050460815,0.9095962047576904,0.9991954565048218
41,0.9994553923606873,0.9999977350234985,0.014198516495525837,2.5e-05,0.9999943971633911,0.99952632188797,0.9985958337783813,1.0,0.9468247890472412,0.9842597842216492,0.045471757650375366,0.9693567752838135,0.8983905911445618,0.9184454083442688,0.9990702867507935
42,0.999268651008606,0.9999964833259583,0.013757308945059776,2.5e-05,0.9999916553497314,0.9993087649345398,0.9981691837310791,1.0,0.9485080242156982,0.9839051365852356,0.04263728857040405,0.9691785573959351,0.9191657304763794,0.8995464444160461,0.9992491006851196
43,0.9993271231651306,0.9999974966049194,0.01327033806592226,2.5e-05,0.9999940395355225,0.9993786811828613,0.9983010292053223,1.0,0.9456133842468262,0.9831984639167786,0.046099189668893814,0.9674884080886841,0.896686851978302,0.9158662557601929,0.9989272952079773
44,0.9993563890457153,0.9999968409538269,0.012873956002295017,2.5e-05,0.9999921917915344,0.9994330406188965,0.9983475804328918,1.0,0.9463784694671631,0.984002411365509,0.045916520059108734,0.9686956405639648,0.8962333798408508,0.9194681644439697,0.998802125453949
45,0.9997209310531616,0.9999995827674866,0.012305076234042645,1.25e-05,0.999998927116394,0.9997671246528625,0.9992707967758179,1.0,0.9500637650489807,0.9851268529891968,0.041844796389341354,0.9711434245109558,0.913925290107727,0.9117307066917419,0.9990345239639282
